days,United Kingdom,"Korea, South",Italy,Sweden,Spain,Ecuador,Germany,France,Norway,Denmark,USA,New York
172,16.0,0.0,6.0,0.0,0.0,48.0,0.0,8.0,0.0,1.0,1339.0,8.0
173,16.0,0.0,10.0,0.0,0.0,29.0,9.0,4.0,0.0,0.0,1103.0,8.0
174,12.0,0.0,6.0,0.0,34.0,26.0,1.0,12.0,0.0,1.0,1091.0,6.0
175,9.0,0.0,3.0,0.0,52.0,50.0,3.0,0.0,0.0,0.0,909.0,6.0
176,12.0,0.0,158.0,7.0,47.0,0.0,4.0,0.0,0.0,0.0,545.0,6.0
177,1.0,0.0,4.0,12.0,25.0,3852.0,15.0,14.0,0.0,1.0,473.0,15.0
178,2.0,0.0,4.0,3.0,15.0,51.0,0.0,13.0,0.0,0.0,1236.0,12.0
179,3.0,1.0,5.0,0.0,0.0,74.0,5.0,17.0,0.0,0.0,1166.0,0.0
180,10.0,0.0,7.0,0.0,0.0,48.0,2.0,16.0,1.0,1.0,1114.0,7.0
181,13.0,1.0,6.0,0.0,83.0,87.0,1.0,17.0,0.0,0.0,977.0,1.0
182,10.0,2.0,9.0,3.0,58.0,28.0,1.0,1.0,0.0,1.0,901.0,6.0
183,12.0,0.0,3.0,4.0,42.0,39.0,5.0,1.0,0.0,1.0,453.0,4.0
184,2.0,0.0,7.0,1.0,40.0,19.0,6.0,19.0,0.0,2.0,542.0,10.0
185,3.0,0.0,4.0,3.0,184.0,41.0,3.0,21.0,0.0,0.0,1030.0,16.0
186,32.0,1.0,4.0,0.0,0.0,33.0,3.0,17.0,0.0,0.0,1079.0,7.0
187,8.0,2.0,13.0,0.0,0.0,33.0,4.0,11.0,1.0,2.0,1037.0,7.0
188,14.0,1.0,5.0,0.0,98.0,15.0,2.0,23.0,1.0,0.0,958.0,13.0
189,6.0,3.0,9.0,0.0,78.0,40.0,2.0,8.0,0.0,0.0,761.0,0.0
190,9.0,5.0,1.0,14.0,34.0,6.0,11.0,0.0,0.0,3.0,469.0,7.0
191,5.0,2.0,4.0,4.0,71.0,5.0,6.0,15.0,0.0,2.0,295.0,5.0
192,9.0,1.0,6.0,1.0,48.0,31.0,3.0,19.0,0.0,1.0,453.0,0.0
193,27.0,0.0,8.0,0.0,0.0,45.0,10.0,0.0,0.0,2.0,1160.0,1.0
194,20.0,2.0,6.0,0.0,0.0,42.0,2.0,32.0,3.0,2.0,916.0,5.0
195,21.0,3.0,10.0,0.0,101.0,23.0,2.0,17.0,0.0,2.0,1174.0,12.0
196,27.0,2.0,11.0,0.0,156.0,37.0,0.0,6.0,0.0,1.0,702.0,5.0
197,27.0,2.0,16.0,11.0,239.0,6.0,15.0,3.0,0.0,1.0,435.0,9.0
198,18.0,1.0,7.0,2.0,162.0,1.0,18.0,27.0,4.0,0.0,431.0,15.0
199,11.0,2.0,12.0,2.0,90.0,32.0,13.0,24.0,0.0,1.0,1200.0,6.0
200,37.0,5.0,10.0,0.0,0.0,43.0,15.0,22.0,0.0,0.0,956.0,14.0
201,37.0,3.0,14.0,0.0,0.0,78.0,8.0,17.0,0.0,1.0,861.0,11.0
202,40.0,2.0,10.0,0.0,168.0,62.0,5.0,0.0,1.0,1.0,896.0,21.0
203,34.0,4.0,10.0,0.0,241.0,102.0,4.0,11.0,0.0,2.0,732.0,5.0
204,35.0,5.0,6.0,13.0,130.0,50.0,15.0,2.0,0.0,4.0,265.0,19.0
205,17.0,3.0,7.0,0.0,84.0,34.0,12.0,23.0,0.0,1.0,427.0,14.0
206,13.0,5.0,14.0,2.0,114.0,21.0,14.0,38.0,0.0,4.0,1032.0,9.0
207,71.0,4.0,9.0,0.0,0.0,41.0,9.0,27.0,0.0,0.0,1056.0,14.0
208,71.0,0.0,12.0,0.0,0.0,398.0,13.0,18.0,0.0,2.0,897.0,9.0
209,59.0,5.0,13.0,0.0,179.0,34.0,2.0,79.0,0.0,0.0,944.0,8.0
210,66.0,5.0,10.0,0.0,0.0,13.0,21.0,17.0,0.0,2.0,768.0,8.0
211,49.0,1.0,24.0,0.0,380.0,3.0,12.0,4.0,0.0,2.0,315.0,4.0
212,33.0,5.0,15.0,0.0,182.0,27.0,16.0,34.0,1.0,2.0,358.0,17.0
213,19.0,2.0,17.0,2.0,113.0,17.0,12.0,49.0,1.0,3.0,833.0,9.0
214,76.0,3.0,14.0,0.0,0.0,29.0,5.0,45.0,0.0,1.0,958.0,11.0
215,70.0,0.0,20.0,0.0,0.0,42.0,21.0,47.0,1.0,2.0,873.0,19.0
216,77.0,5.0,23.0,0.0,139.0,51.0,6.0,154.0,0.0,0.0,860.0,9.0
217,87.0,2.0,20.0,0.0,261.0,18.0,14.0,25.0,0.0,2.0,683.0,15.0
218,81.0,4.0,17.0,13.0,76.0,12.0,42.0,11.0,0.0,1.0,381.0,13.0
219,65.0,2.0,17.0,3.0,126.0,8.0,34.0,53.0,0.0,6.0,481.0,18.0
220,50.0,5.0,16.0,8.0,241.0,9.0,23.0,77.0,0.0,2.0,686.0,8.0
221,143.0,1.0,24.0,0.0,0.0,49.0,34.0,27.0,1.0,2.0,927.0,7.0
222,137.0,6.0,19.0,0.0,0.0,47.0,12.0,50.0,0.0,4.0,989.0,17.0
223,138.0,2.0,24.0,0.0,195.0,28.0,13.0,150.0,0.0,3.0,968.0,16.0
224,136.0,1.0,23.0,0.0,80.0,14.0,44.0,39.0,0.0,3.0,658.0,11.0
225,150.0,4.0,27.0,11.0,209.0,11.0,40.0,27.0,0.0,2.0,471.0,10.0
226,67.0,1.0,18.0,1.0,140.0,20.0,29.0,81.0,0.0,6.0,394.0,14.0
227,80.0,1.0,16.0,3.0,222.0,15.0,49.0,71.0,1.0,1.0,796.0,19.0
228,241.0,0.0,28.0,0.0,0.0,20.0,18.0,60.0,0.0,6.0,990.0,15.0
229,191.0,3.0,31.0,0.0,0.0,14.0,57.0,56.0,1.0,1.0,849.0,21.0
230,189.0,2.0,22.0,0.0,217.0,10.0,27.0,135.0,1.0,3.0,937.0,15.0
231,224.0,1.0,28.0,0.0,218.0,38.0,29.0,25.0,0.0,2.0,762.0,9.0
232,174.0,2.0,29.0,0.0,156.0,14.0,30.0,32.0,0.0,2.0,493.0,22.0
233,151.0,2.0,26.0,7.0,155.0,8.0,97.0,69.0,0.0,1.0,479.0,13.0
234,102.0,1.0,39.0,4.0,231.0,6.0,87.0,65.0,0.0,4.0,923.0,11.0
235,367.0,1.0,41.0,0.0,0.0,6.0,86.0,79.0,0.0,1.0,1121.0,24.0
236,310.0,4.0,43.0,0.0,0.0,26.0,92.0,73.0,2.0,4.0,915.0,25.0
237,280.0,1.0,83.0,0.0,279.0,31.0,30.0,109.0,1.0,5.0,967.0,20.0
238,274.0,2.0,55.0,0.0,267.0,54.0,156.0,35.0,0.0,2.0,951.0,20.0
239,326.0,2.0,47.0,59.0,168.0,15.0,48.0,46.0,0.0,3.0,462.0,27.0
240,162.0,1.0,69.0,5.0,173.0,9.0,232.0,95.0,0.0,4.0,533.0,29.0
241,136.0,0.0,73.0,20.0,239.0,10.0,161.0,107.0,0.0,3.0,973.0,30.0
242,397.0,3.0,89.0,0.0,0.0,71.0,130.0,104.0,0.0,3.0,1035.0,25.0
243,492.0,3.0,127.0,0.0,0.0,26.0,66.0,85.0,6.0,2.0,1004.0,26.0
244,378.0,3.0,136.0,0.0,379.0,31.0,66.0,178.0,3.0,1.0,1061.0,28.0
245,355.0,2.0,91.0,0.0,238.0,20.0,36.0,73.0,0.0,1.0,910.0,25.0
246,413.0,2.0,151.0,60.0,1623.0,11.0,373.0,85.0,0.0,3.0,496.0,31.0
247,156.0,0.0,128.0,40.0,368.0,8.0,213.0,146.0,0.0,4.0,572.0,32.0
248,194.0,0.0,141.0,42.0,347.0,9.0,222.0,262.0,4.0,4.0,1578.0,36.0
249,532.0,3.0,221.0,0.0,0.0,27.0,188.0,162.0,2.0,2.0,1115.0,31.0
250,595.0,1.0,205.0,0.0,0.0,21.0,107.0,154.0,5.0,3.0,1155.0,41.0
251,563.0,1.0,217.0,0.0,512.0,22.0,62.0,298.0,1.0,5.0,1239.0,48.0
252,376.0,1.0,199.0,0.0,0.0,44.0,260.0,136.0,0.0,3.0,1081.0,41.0
253,462.0,1.0,297.0,157.0,760.0,62.0,305.0,0.0,0.0,3.0,571.0,30.0
254,168.0,2.0,208.0,19.0,356.0,24.0,252.0,383.0,5.0,5.0,779.0,37.0
255,213.0,2.0,233.0,66.0,308.0,39.0,272.0,521.0,3.0,8.0,1418.0,43.0
256,598.0,4.0,353.0,0.0,0.0,24.0,256.0,243.0,2.0,5.0,1436.0,43.0
257,529.0,2.0,352.0,0.0,0.0,28.0,143.0,232.0,0.0,9.0,1204.0,69.0
258,501.0,1.0,428.0,0.0,484.0,42.0,98.0,545.0,12.0,5.0,1200.0,45.0
259,511.0,1.0,446.0,0.0,435.0,13.0,301.0,222.0,0.0,7.0,1347.0,45.0
260,340.0,1.0,425.0,149.0,351.0,52.0,372.0,231.0,0.0,6.0,775.0,52.0
261,398.0,1.0,331.0,67.0,252.0,38.0,378.0,416.0,4.0,8.0,829.0,49.0
262,206.0,2.0,356.0,59.0,328.0,40.0,430.0,1272.0,2.0,9.0,1721.0,72.0
263,608.0,5.0,580.0,0.0,0.0,61.0,371.0,0.0,17.0,6.0,1918.0,64.0
264,695.0,2.0,623.0,0.0,0.0,50.0,170.0,354.0,2.0,6.0,2052.0,60.0
265,498.0,0.0,636.0,0.0,512.0,84.0,125.0,828.0,1.0,9.0,1957.0,63.0
266,520.0,1.0,550.0,0.0,537.0,60.0,388.0,303.0,0.0,11.0,1619.0,79.0
267,479.0,4.0,544.0,291.0,369.0,22.0,483.0,270.0,0.0,7.0,1032.0,64.0
268,215.0,1.0,546.0,35.0,337.0,2.0,482.0,548.0,5.0,9.0,1099.0,85.0
269,203.0,1.0,504.0,60.0,294.0,14.0,438.0,1218.0,2.0,7.0,2129.0,86.0
270,603.0,0.0,731.0,0.0,0.0,20.0,480.0,328.0,0.0,3.0,2263.0,76.0
271,648.0,2.0,753.0,0.0,0.0,36.0,262.0,415.0,21.0,14.0,1384.0,85.0
