days,United Kingdom,"Korea, South",Italy,Sweden,Spain,Ecuador,Germany,France,Norway,Denmark,USA,New York
120,44198.0,280.0,34610.0,5500.0,28364.0,5047.0,9032.0,29346,252.0,609.0,126586.0,32029.0
121,44220.0,280.0,34634.0,5526.0,28368.0,5063.0,9046.0,29375,253.0,610.0,126950.0,32075.0
122,44236.0,280.0,34657.0,5526.0,28385.0,5130.0,9057.0,29484,253.0,610.0,127685.0,32092.0
123,44391.0,281.0,34675.0,5526.0,28385.0,5158.0,9063.0,29512,253.0,610.0,128372.0,32115.0
124,44517.0,281.0,34644.0,5536.0,28385.0,5207.0,9070.0,29540,254.0,610.0,129096.0,32133.0
125,44602.0,282.0,34678.0,5545.0,28388.0,5250.0,9071.0,29554,255.0,611.0,129749.0,32147.0
126,44650.0,282.0,34708.0,5572.0,28392.0,5282.0,9074.0,29568,255.0,611.0,130020.0,32167.0
127,44798.0,282.0,34716.0,5593.0,28396.0,5313.0,9078.0,29574,255.0,611.0,130319.0,32187.0
128,44819.0,282.0,34738.0,5619.0,28401.0,5318.0,9080.0,29595,255.0,611.0,130670.0,32203.0
129,44830.0,282.0,34744.0,5619.0,28403.0,5366.0,9087.0,29652,255.0,611.0,131894.0,32218.0
130,44968.0,282.0,34767.0,5619.0,28403.0,5418.0,9088.0,29661,255.0,611.0,132744.0,32228.0
131,45053.0,282.0,34788.0,5639.0,28403.0,5439.0,9091.0,29680,255.0,612.0,133756.0,32270.0
132,45119.0,282.0,34818.0,5646.0,28406.0,5468.0,9092.0,29705,255.0,613.0,134586.0,32278.0
133,45233.0,282.0,34833.0,5667.0,28409.0,5507.0,9094.0,29704,255.0,613.0,135277.0,32295.0
134,45273.0,283.0,34854.0,5676.0,28413.0,5515.0,9099.0,29704,255.0,613.0,135728.0,32305.0
135,45300.0,283.0,34861.0,5697.0,28416.0,5532.0,9102.0,29736,255.0,613.0,136117.0,32322.0
136,45312.0,284.0,34869.0,5697.0,28420.0,5584.0,9110.0,29763,255.0,613.0,137045.0,32333.0
137,45422.0,285.0,34899.0,5697.0,28420.0,5623.0,9120.0,29780,255.0,614.0,138013.0,32342.0
138,45501.0,285.0,34914.0,5700.0,28420.0,5657.0,9124.0,29794,255.0,615.0,138966.0,32362.0
139,45554.0,287.0,34926.0,5702.0,28422.0,5702.0,9124.0,29812,255.0,615.0,139886.0,32372.0
140,45677.0,288.0,34938.0,5730.0,28424.0,5736.0,9125.0,29812,255.0,615.0,140756.0,32390.0
141,45738.0,288.0,34945.0,5739.0,28426.0,5736.0,9131.0,29813,255.0,615.0,141201.0,32401.0
142,45752.0,289.0,34954.0,5743.0,28429.0,5767.0,9135.0,29836,256.0,616.0,141715.0,32413.0
143,45759.0,289.0,34967.0,5743.0,28432.0,5808.0,9144.0,29847,256.0,616.0,142824.0,32422.0
144,45878.0,289.0,34984.0,5743.0,28432.0,5847.0,9147.0,29846,256.0,616.0,144035.0,32431.0
145,45961.0,289.0,34997.0,5744.0,28432.0,,9154.0,29889,,,145156.0,
146,45999.0,291.0,35017.0,5747.0,28434.0,,9154.0,29912,,,146279.0,
147,46119.0,293.0,35028.0,5760.0,28436.0,,9154.0,29909,,,147180.0,
148,46193.0,294.0,35042.0,,28441.0,,9163.0,29909,,,147657.0,
